pid,name,brand,url,price,old_price,in_stock,labels,scraped_at
52531,ZeroPro Protein - 35 г,Amix,https://belok.ua/ua/zeropro-protein-1000-g-creamy-vanilla-cheescake-1/,110.0,,False,,2026-09-09 15:40
53596,Whey Isolate - 480 г,Rule 1,https://belok.ua/ua/protein-480-g-shokolad-1/,1449.0,,False,,2026-09-09 15:40
53836,100% Whey Protein - 700 г,Ostrovit,https://belok.ua/ua/100-whey-protein/,999.0,,False,,2026-09-09 15:40
52757,AmixPro Micelle HD Casein - 700 г,Amix,https://belok.ua/ua/amixpro-micelle-hd-casein-700-g-2/,1199.0,,False,,2026-09-09 15:40
52108,100% Whey Protein - 500 г,IronMaxx,https://belok.ua/ua/100-whey-protein-2350-gr-banka-francuzskaya-vanil-1/,1097.0,,False,Хіт продажу,2026-09-09 15:40
50338,"100% Gold Standard Casein - 1,8 кг",Optimum Nutrition,https://belok.ua/ua/optimum-nutrition-100-gold-standard-casein/,3698.0,,False,,2026-09-09 15:40
52984,Iso Whey ProZero - 2250 г,Nutrend,https://belok.ua/ua/iso-whey-prozero-2250-g-bilij-shokolad-1/,4359.0,,False,,2026-09-09 15:40
50042,"Syntha-6 - 1,32 кг",BSN,https://belok.ua/ua/bsn-syntha-6/,2448.0,,False,,2026-09-09 15:40
53444,Ultra Hydrolezed ISO Build - 908 г,Everbuild Nutrition,https://belok.ua/ua/iso-build-protein-isolate-28-g-pechivokrem/,1799.0,,False,Хіт продажу,2026-09-09 15:40
53469,Ultra Premium Whey Protein Build - 908 г,Everbuild Nutrition,https://belok.ua/ua/ultra-premium-whey-protein-build/,1377.0,,False,Хіт продажу,2026-09-09 15:40
53380,Micellar Casein Build - 908 г,Everbuild Nutrition,https://belok.ua/ua/micellar-casein-build-1816-g-shokolad-1/,1245.0,,False,,2026-09-09 15:40
53487,Whey Protein Build 2.0 - 500 г,Everbuild Nutrition,https://belok.ua/ua/whey-protein-build-20-2270-g-solona-karamel/,759.0,,False,,2026-09-09 15:40
53488,Whey Protein Build 2.0 - 1000 г,Everbuild Nutrition,https://belok.ua/ua/whey-protein-build-20-2270-g-solona-karamel/,1245.0,,False,,2026-09-09 15:40
53443,Ultra Hydrolezed ISO Build - 2270 г,Everbuild Nutrition,https://belok.ua/ua/iso-build-protein-isolate-28-g-pechivokrem/,4099.0,,False,Хіт продажу,2026-09-09 15:40
53489,Whey Protein Build 2.0 - 2270 г,Everbuild Nutrition,https://belok.ua/ua/whey-protein-build-20-2270-g-solona-karamel/,2657.0,,False,,2026-09-09 15:40
53445,Ultra Hydrolezed ISO Build - 454 г,Everbuild Nutrition,https://belok.ua/ua/iso-build-protein-isolate-28-g-pechivokrem/,999.0,,False,,2026-09-09 15:40
54104,"Protein Whey Isolate, 660 г",Rule 1,https://belok.ua/ua/protein-480-g-shokolad-1/,2335.0,,True,В наявності | Новинки,2026-09-09 15:40
52337,"R1 Casein - 1,8 кг",Rule 1,https://belok.ua/ua/casein-948-g-shokolad-1/,3498.0,,True,В наявності,2026-09-09 15:40
52789,"Anabolic Monster Beef Protein - 2,2 кг",Amix,https://belok.ua/ua/anabolic-monster-beef-protein-1000-g-forest-fruits-1/,2898.0,,True,В наявності,2026-09-09 15:40
32263,Whey Protein - 462 г - Ванільний крем,Rule 1,https://belok.ua/ua/whey-blend-462-g-vanilnyj-krem/,1235.0,,True,В наявності,2026-09-09 15:40
